,CARD,DECK,BALLOT,S204.Q1,S204.Q2,S204.Q3,S204.Q4,S204.Q5,S204.Q6,S204.Q7,S204.Q8,S204.Q9,S204.Q10,S204.Q11,S204.Q12.n,S204.Q13,S204.Q14,S204.Q15,S204.Q16,S204.Q17,S204.Q18,S204.Q19,S204.Q20,S204.Q21,S204.Q22,S204.Q23,S204.Q24,S204.Q25,S204.Q26
49,1.0,204.0,50.0,6.0,1.0,3.0,1.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
50,1.0,204.0,51.0,6.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,4.0,2.0,3.0,,1.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
51,1.0,204.0,52.0,4.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,2.0,1.0,3.0,,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0
52,1.0,204.0,53.0,5.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,4.0,1.0,4.0,,2.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
53,1.0,204.0,54.0,6.0,1.0,2.0,2.0,7.0,2.0,5.0,4.0,2.0,1.0,3.0,,2.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0
54,1.0,204.0,55.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,3.0,1.0,2.0,,2.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
55,1.0,204.0,56.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0
56,1.0,204.0,57.0,4.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,3.0,,1.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
57,1.0,204.0,58.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,3.0,1.0,4.0,,1.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0
58,1.0,204.0,59.0,6.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,3.0,1.0,1.0,,1.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0
59,1.0,204.0,60.0,3.0,1.0,4.0,5.0,6.0,2.0,3.0,5.0,1.0,2.0,4.0,,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0
60,1.0,204.0,61.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,,2.0,2.0,1.0,3.0,4.0,3.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0
61,1.0,204.0,62.0,5.0,1.0,3.0,2.0,6.0,2.0,5.0,5.0,2.0,2.0,4.0,,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0
