,CARD,DECK,BALLOT,FORM,S160A.Q1,S160A.Q2,S160A.Q3,S160A.Q4,S160A.Q5A,S160A.Q5B,S160A.Q5C,S160A.Q6A,S160A.Q6B.n,S160A.Q7,S160A.Q8,S160A.Q9A1,S160A.Q9A2,S160A.Q9A3,S160A.Q9A4,S160A.Q9A5,S160A.Q9A6,S160A.Q9A7,S160A.Q9A8,S160A.Q9B,S160A.Q10A,S160A.Q10B,S160A.Q10C,S160A.Q11A.n,S160A.Q11B.n,S160A.Q11C.n,S160A.Q12A,S160A.Q13,S160A.Q14A,S160A.Q14B,S160A.Q15.n,S160A.Q16,S160A.Q17A,S160A.Q17B,S160A.Q18A,S160A.Q18B,S160A.Q19,S160A.Q20.n,S160A.Q21A,S160A.Q21B,S160A.Q23,S160A.Q24A,S160A.Q24C.n,S160A.Q25A,S160A.Q25B,S160A.Q27,S160A.Q28A,S160A.Q28C.n,S160A.Q29,S160A.Q30,S160A.Q31,S160A.Q32,S160A.Q33A,S160A.Q33B,S160A.Q33C.n,S160A.V34
40,1.0,160.0,41.0,1.0,3.0,7.0,7.0,4.0,11.0,3.0,10.0,3.0,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0,5.0,1.0,,,,0.0,2.0,2.0,3.0,,1.0,2.0,0.0,2.0,2.0,1.0,,2.0,3.0,9.0,9.0,,1.0,1.0,2.0,1.0,,2.0,5.0,1.0,4.0,1.0,1.0,,266.0
41,1.0,160.0,42.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,,,,1.0,1.0,2.0,3.0,,5.0,4.0,2.0,2.0,2.0,3.0,,1.0,0.0,9.0,9.0,,0.0,0.0,9.0,9.0,,2.0,4.0,0.0,3.0,2.0,1.0,,309.0
42,1.0,160.0,43.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,,,,1.0,2.0,2.0,3.0,,1.0,1.0,0.0,3.0,2.0,2.0,,1.0,2.0,9.0,1.0,,2.0,3.0,9.0,9.0,,2.0,5.0,0.0,3.0,1.0,1.0,,308.0
43,1.0,160.0,44.0,1.0,3.0,10.0,7.0,1.0,3.0,3.0,3.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,,,,1.0,1.0,2.0,1.0,,3.0,2.0,1.0,2.0,2.0,3.0,,1.0,0.0,1.0,1.0,,2.0,3.0,9.0,9.0,,1.0,1.0,1.0,4.0,1.0,1.0,,120.0
44,1.0,160.0,45.0,1.0,3.0,1.0,7.0,5.0,5.0,3.0,2.0,3.0,,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,,,,1.0,1.0,2.0,3.0,,5.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,9.0,9.0,,2.0,5.0,1.0,1.0,2.0,1.0,,271.0
45,1.0,160.0,46.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,5.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,,,,1.0,2.0,2.0,3.0,,5.0,2.0,0.0,2.0,2.0,3.0,,1.0,0.0,2.0,1.0,,0.0,0.0,9.0,9.0,,1.0,1.0,0.0,1.0,1.0,1.0,,72.0
46,1.0,160.0,47.0,1.0,3.0,7.0,7.0,4.0,4.0,4.0,1.0,4.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,,,,1.0,2.0,2.0,3.0,,3.0,2.0,0.0,3.0,2.0,1.0,,1.0,2.0,9.0,9.0,,1.0,2.0,2.0,1.0,,1.0,5.0,1.0,4.0,1.0,1.0,,267.0
47,1.0,160.0,48.0,1.0,3.0,5.0,7.0,3.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,1.0,2.0,1.0,3.0,,1.0,2.0,0.0,3.0,1.0,2.0,,1.0,0.0,9.0,1.0,,2.0,3.0,9.0,9.0,,1.0,1.0,0.0,3.0,1.0,1.0,,381.0
48,1.0,160.0,49.0,1.0,1.0,5.0,7.0,3.0,0.0,1.0,1.0,3.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,,,,1.0,1.0,2.0,3.0,,5.0,2.0,0.0,3.0,1.0,6.0,,1.0,2.0,1.0,1.0,,2.0,2.0,9.0,9.0,,2.0,5.0,1.0,4.0,2.0,2.0,,386.0
49,1.0,160.0,50.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,3.0,3.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,,,,0.0,2.0,1.0,3.0,,1.0,1.0,0.0,3.0,1.0,2.0,,1.0,2.0,2.0,9.0,,2.0,1.0,9.0,9.0,,2.0,2.0,0.0,2.0,1.0,1.0,,345.0
