COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88
1,142,196,4,11,11,3,1,8,3,11,8,1,1,2,3,2,1,4,3,6,6,4,6,2,5,2,1,9,30,3,3,8,3,8,4,2,0,2,2,3,3,2,4,2,2,2,2,4,2,4,2,2,3,3,1,2,142,196,2,3,1,3,2,4,2,6,6,0,4,2,6,3,2,1,1,1,1,4,5,4,2,3,1,0,0,4,43
1,142,197,4,11,11,5,1,8,2,11,8,1,1,2,3,1,2,4,4,6,4,4,2,2,5,2,1,6,25,2,2,8,1,4,4,1,3,2,1,3,2,2,2,3,2,2,2,3,2,3,2,2,2,3,2,2,142,197,2,1,1,3,1,3,1,6,6,1,2,3,6,3,2,1,1,1,3,4,5,4,2,3,10,8,8,4,51
1,142,198,4,11,11,8,1,9,2,11,9,1,1,2,1,1,2,3,2,2,1,1,1,1,4,2,2,6,25,2,1,5,0,0,4,1,2,2,1,1,4,2,2,3,2,2,2,4,2,3,2,3,3,2,0,2,142,198,1,9,2,3,0,4,1,6,6,3,1,2,6,3,1,1,3,3,2,4,3,2,2,3,2,9,89,11,56
1,142,199,4,11,11,6,1,9,2,11,9,1,1,1,1,1,2,6,4,6,4,3,2,2,5,2,2,5,20,2,2,9,1,5,4,1,3,2,3,3,3,3,2,4,2,2,2,4,2,3,0,2,3,4,0,2,142,199,3,2,1,1,1,2,1,6,6,1,1,3,6,3,2,2,1,3,3,4,5,4,2,2,11,9,9,4,36
1,142,200,4,11,11,9,1,9,2,11,9,1,3,2,1,1,1,6,3,5,4,3,3,3,1,2,1,4,20,2,2,9,2,9,4,1,2,2,5,1,2,2,3,2,2,1,3,4,1,3,2,1,3,3,1,2,142,200,3,3,1,1,2,3,1,6,6,1,1,2,6,3,1,1,1,1,1,3,3,1,1,2,0,9,9,9,12
1,142,201,5,10,10,9,1,52,14,11,52,1,1,3,3,2,1,6,3,1,6,1,1,1,2,2,1,5,20,3,3,15,10,89,4,0,3,1,3,2,3,4,3,3,2,2,3,4,2,4,2,2,3,2,1,2,142,201,3,3,1,1,1,2,1,2,6,1,1,2,4,1,1,1,1,1,2,3,1,1,2,2,0,26,12,1,4
1,142,202,3,11,11,7,1,50,12,11,50,2,3,2,3,1,2,6,1,2,4,7,1,1,6,1,1,6,20,3,6,22,3,12,4,1,2,2,4,2,3,2,2,3,3,2,1,4,2,4,1,2,3,3,1,2,142,202,2,2,1,3,2,4,2,1,6,1,1,2,5,3,1,1,3,1,2,2,1,1,2,2,7,22,16,1,28
1,142,203,4,10,10,5,1,55,15,2,50,1,1,1,1,1,2,6,2,2,6,1,1,1,3,1,2,6,30,2,3,14,3,14,1,6,2,2,1,2,2,2,2,3,2,1,2,2,2,2,2,2,3,3,2,2,142,203,3,2,1,2,1,2,1,6,6,2,2,2,5,3,2,1,3,1,1,2,2,1,2,3,10,25,12,1,99
1,142,204,4,11,10,6,1,56,15,11,56,1,1,2,2,0,1,0,0,0,0,0,1,1,2,2,3,7,4,1,4,16,2,8,4,0,2,4,1,2,4,4,2,2,2,2,2,3,2,3,2,2,3,4,0,2,142,204,1,1,0,3,1,0,1,1,6,1,1,0,4,3,3,1,3,3,3,4,4,4,2,3,0,18,12,11,16
1,142,205,4,9,8,3,1,55,15,5,20,1,1,2,2,2,1,4,6,2,4,1,1,1,5,2,1,5,20,4,1,5,1,5,2,4,2,3,2,1,2,4,3,4,2,2,3,3,3,3,2,2,2,2,2,2,142,205,2,5,1,1,2,3,1,1,6,1,1,2,7,3,2,1,1,3,3,3,3,1,2,3,2,12,8,11,21
1,142,206,3,11,11,8,1,56,14,11,56,1,1,2,2,1,1,4,3,6,4,3,3,3,1,2,2,6,24,2,5,25,1,6,2,1,2,2,1,1,2,2,3,2,1,2,2,2,2,3,2,2,2,4,2,2,142,206,6,1,1,1,2,3,1,3,6,1,2,3,5,3,1,1,1,1,1,4,5,4,2,2,1,25,18,5,30
1,142,207,3,11,11,6,2,50,14,1,50,2,1,2,2,1,2,6,5,6,6,3,3,3,1,2,1,4,20,4,7,40,3,18,2,1,2,1,3,1,2,1,1,3,1,2,1,2,1,2,2,1,3,2,2,2,142,207,9,8,1,3,1,3,1,2,6,2,2,4,6,3,1,1,3,1,1,4,5,4,2,2,2,40,20,5,31
1,142,208,3,11,11,7,2,53,14,11,53,1,1,2,3,1,1,6,1,5,6,3,3,3,1,2,2,6,20,2,6,25,3,12,2,3,3,3,1,1,2,2,2,3,3,2,2,4,2,3,2,2,3,4,2,2,142,208,9,1,3,3,2,3,1,2,6,1,2,3,7,3,1,1,1,1,2,4,4,4,2,3,11,32,20,5,38
1,142,209,4,10,9,6,1,55,14,1,55,1,1,2,1,2,2,4,2,2,1,1,1,1,3,2,1,4,20,9,1,5,10,89,1,6,2,3,1,1,3,4,4,2,3,2,4,4,4,4,4,2,4,4,1,2,142,209,2,1,1,0,1,3,3,1,6,2,2,3,7,3,2,2,3,3,2,2,1,1,0,2,11,25,15,11,88
1,142,210,4,11,11,7,1,50,13,3,50,1,1,1,1,1,2,6,1,6,6,4,3,3,2,1,1,6,35,3,1,7,10,89,4,6,2,2,1,3,3,2,4,4,2,2,3,4,2,3,1,2,4,4,1,2,142,210,1,1,1,0,1,3,1,1,6,2,1,2,6,3,3,1,3,1,3,4,5,4,2,3,1,30,15,7,35
1,142,211,4,11,11,6,1,55,3,1,55,3,1,2,2,2,2,6,5,2,4,4,3,3,4,2,2,4,15,3,4,16,1,6,4,3,2,2,2,2,2,2,4,3,2,2,2,4,2,3,2,3,4,4,1,2,142,211,2,1,1,3,2,1,2,6,6,3,1,0,3,1,3,1,2,3,2,0,4,0,2,3,0,24,15,7,39
1,142,212,3,11,11,8,1,50,12,1,50,1,1,2,2,1,2,4,2,6,6,4,3,3,1,2,3,4,20,2,3,15,1,6,4,1,2,3,5,2,3,2,2,2,2,2,2,3,3,2,2,2,2,4,0,2,142,212,1,1,1,0,1,2,1,6,6,2,1,1,5,3,3,1,3,1,1,2,4,1,2,3,1,20,15,7,44
1,142,213,4,11,11,6,1,50,14,11,50,1,1,2,3,1,2,5,1,6,6,3,3,3,3,2,1,5,20,3,5,24,2,10,4,2,3,3,1,2,2,3,4,4,3,2,2,3,2,3,3,2,4,4,0,2,142,213,3,1,1,1,1,3,2,6,6,1,2,0,5,3,2,1,1,1,1,4,3,1,2,3,1,25,12,7,50
1,142,214,3,11,11,9,1,50,15,11,50,1,3,2,1,2,2,3,6,5,3,1,2,2,3,2,1,6,25,5,4,15,1,4,4,2,1,1,2,1,2,2,3,3,2,2,3,4,2,2,2,2,3,4,2,2,142,214,9,1,1,1,1,3,1,6,6,1,1,2,4,3,3,1,1,1,1,3,1,2,2,3,11,25,11,8,1
1,142,215,3,11,11,8,1,50,14,1,50,3,3,2,2,2,2,4,2,5,4,1,0,2,3,2,2,5,20,2,3,11,1,4,2,2,2,3,4,3,4,3,3,4,1,2,2,3,2,3,2,2,2,4,2,2,142,215,10,1,1,1,2,3,2,6,6,1,2,2,6,3,2,1,2,1,5,4,5,4,2,3,1,25,12,8,17
1,142,216,3,11,11,7,1,50,14,1,50,1,2,3,3,1,2,4,3,2,4,3,2,2,3,2,2,6,20,5,5,20,2,7,1,1,2,2,1,1,4,2,3,3,2,2,2,3,2,3,2,2,3,3,2,2,142,216,3,1,2,2,1,2,1,6,6,1,1,2,6,3,2,1,3,1,4,4,4,1,2,1,6,23,12,8,19
1,142,217,4,11,11,8,1,50,13,11,50,1,1,2,1,1,2,4,6,4,4,3,2,2,3,2,2,6,20,2,6,23,3,12,4,1,2,3,1,3,2,3,4,4,1,2,4,2,2,4,3,2,4,3,1,2,142,217,2,1,1,3,2,4,1,6,6,1,4,4,4,2,1,1,1,1,1,3,3,1,2,3,4,25,16,3,33
