CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.8.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.57.,Q.58.,Q.59.,V.62.,V.63.,V.64.,V.65.,V.66.,V.67.
1,196,44,1,2,4,0,3,5,2,2,1,3,3,1,0,3,0,3,3,4,4,1,5,2,1,2,2,0,1,2,3,3,2,11,0,0,4,1,2,2,0,3,2,1,1,1,1,2,1,0,5,1,3,2,2,3,4,99
1,196,45,1,3,3,1,2,4,2,2,2,4,3,4,4,4,10,4,1,4,3,1,5,2,1,1,1,1,4,1,1,1,4,0,1,2,4,1,2,1,0,2,3,5,4,5,0,0,0,0,5,0,3,2,2,3,6,59
1,196,46,1,2,3,3,2,4,2,2,1,1,1,3,4,4,0,2,4,2,1,1,6,2,1,2,2,0,3,1,2,1,6,4,2,0,4,2,2,1,0,3,3,2,2,4,1,1,1,2,5,1,3,1,2,3,4,85
1,196,47,1,3,3,1,2,3,2,2,2,2,0,2,4,3,10,3,3,2,3,2,7,2,1,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,2,2,2,4,3,0,0,0,5,0,3,1,2,3,8,13
1,196,48,1,1,3,1,3,3,2,1,1,1,0,3,4,4,10,2,1,3,2,1,6,2,1,1,2,1,2,2,3,1,7,10,0,2,2,1,3,1,0,1,1,2,1,4,1,0,0,0,5,0,3,2,2,3,4,19
1,196,49,3,2,2,1,2,2,2,1,2,2,3,3,3,2,0,3,3,2,2,1,5,2,1,2,2,2,5,2,2,1,4,10,1,1,2,2,3,1,0,0,1,0,1,3,1,0,2,1,2,3,3,2,2,3,9,49
1,196,50,1,3,3,1,2,4,2,1,1,2,4,2,3,4,10,2,1,1,2,1,7,2,1,1,1,1,5,3,2,2,3,1,1,2,4,2,3,1,2,0,3,3,1,1,1,1,1,1,3,3,3,1,2,3,4,101
1,196,51,3,3,4,1,2,2,1,2,2,2,0,2,4,1,10,3,3,1,1,1,7,2,1,2,1,1,3,2,2,1,4,8,1,2,2,2,3,2,2,1,1,3,1,2,2,2,2,1,3,1,3,1,2,3,8,88
1,196,52,2,3,4,1,2,4,2,1,2,2,4,3,4,3,1,2,2,2,3,2,8,2,1,2,1,1,2,1,1,2,4,0,1,2,2,1,3,2,2,3,2,3,1,4,1,2,1,2,4,1,3,1,2,3,7,37
1,196,53,2,3,3,1,2,2,2,2,1,3,4,2,4,3,0,2,4,2,3,2,8,1,1,2,3,2,2,1,2,1,6,11,1,2,4,2,3,2,2,3,2,2,2,2,2,1,1,2,3,1,3,1,2,3,8,79
1,196,54,1,3,3,1,1,4,1,2,2,4,4,2,4,4,10,4,4,1,2,1,8,2,1,1,1,2,4,2,2,1,6,4,1,1,4,2,3,1,2,3,4,1,2,2,1,1,1,1,3,1,3,1,2,3,5,3
1,196,55,1,3,3,1,2,2,2,2,2,2,0,2,4,2,10,4,2,2,3,1,8,2,1,2,1,2,2,2,3,1,4,0,2,2,4,2,3,2,2,3,1,1,1,3,2,2,2,1,2,1,3,1,2,3,5,11
1,196,56,2,3,2,1,2,3,2,2,2,3,2,5,4,2,10,3,1,2,3,1,9,2,1,3,1,1,1,2,2,1,4,1,1,2,2,1,3,1,2,2,1,3,1,3,2,2,1,1,2,1,3,1,2,3,8,114
1,196,57,3,3,3,1,2,4,2,2,2,4,4,3,4,4,10,2,1,1,1,1,9,2,1,2,1,1,1,2,1,1,4,4,2,2,3,2,3,2,2,3,1,2,1,3,2,2,1,2,3,3,3,1,2,3,7,12
1,196,58,2,3,3,1,1,2,1,2,2,3,3,2,4,3,10,3,5,1,2,1,5,2,1,2,1,1,5,2,1,1,3,5,2,1,2,2,0,0,3,3,2,3,1,2,2,1,2,2,3,2,3,1,2,3,3,6
1,196,59,3,2,2,1,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3,1,5,2,1,1,2,2,4,1,3,1,4,1,1,2,2,2,1,1,3,1,3,5,3,4,2,1,1,2,3,1,3,2,2,3,7,9
1,196,60,1,3,3,1,2,3,2,1,1,4,1,4,4,3,10,4,4,3,3,2,1,2,1,1,2,1,1,2,2,1,4,10,1,2,2,3,1,1,3,2,3,5,1,5,1,1,1,1,4,1,3,2,2,3,4,73
1,196,61,2,3,2,1,2,4,2,1,2,2,4,4,4,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,3,1,4,4,2,2,3,2,1,2,3,2,1,5,1,3,1,1,1,2,4,1,3,2,2,3,9,11
1,196,62,1,1,3,1,2,4,2,2,5,4,4,4,4,4,10,4,4,4,4,2,5,2,1,1,1,2,4,1,2,1,3,10,1,2,4,3,1,1,3,3,3,5,3,1,1,2,1,2,4,1,3,2,2,3,6,82
1,196,63,1,2,3,1,1,4,2,1,1,4,1,2,4,4,10,4,1,1,1,1,5,2,1,0,0,2,4,2,3,1,7,6,1,2,4,2,1,1,3,3,3,5,2,5,1,1,1,1,1,1,3,2,2,3,4,14
1,196,64,3,2,3,1,3,2,1,1,2,4,2,4,4,2,1,3,2,2,3,1,4,2,1,2,1,1,2,2,2,2,4,10,1,2,2,2,1,1,3,3,1,1,3,3,2,2,2,1,4,1,3,1,2,3,9,14
1,196,65,2,6,3,1,2,3,1,2,2,3,4,2,3,4,10,3,3,2,3,2,4,2,2,1,1,2,3,2,2,1,6,11,2,2,3,3,2,1,3,2,0,1,1,3,2,2,1,2,2,1,3,2,2,3,5,38
