CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.3..1,Q.3..2,Q.3..3,Q.3..4,Q.3..5,Q.3..6,Q.3..7,Q.3..8,Q.4.,Q.5A.,V.5B.,V.5B..1,V.5B..2,V.5B..3,V.5B..4,V.5B..5,V.5B..6,V.5B..7,V.5B..8,Q.6.,Q.7.,Q.8.,Q.8..1,Q.8..2,Q.9.,Q.9..1,Q.9..2,Q.10.,Q.11A.,V.11B.,V.11B..1,V.11B..2,V.11B..3,V.11B..4,V.11B..5,V.11B..6,V.11B..7,Q.12.,Q.12..1,Q.13.,Q.13..1,Q.13..2,Q.13..3,Q.13..4,Q.13..5,Q.13..6,Q.13..7,Q.13..8,Q.13..9,Q.13..10,Q.14.,Q.16.,Q.16..1,Q.16..2,Q.16..3,Q.16..4,Q.16..5,Q.16..6,Q.16..7,Q.16..8,Q.16..9,Q.16..10,Q.16..11,CARD..1,DECK..1,BALLOT..1,V.17.,V.18.,V.19.,V.20.
1,199,58,1,8,1,1,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,2,1,2,1,1,1,0,0,3,8,0,7,7,1,2,2,1,2,2,2,2,1,4,1,3,1,8,2,0,1,4,0,5,0,0,2,2,2,2,1,2,2,2,2,2,2,1,2,199,58,1,10,38,1
1,199,59,1,2,2,1,2,2,2,2,2,2,1,1,5,2,2,2,2,2,2,2,1,2,3,2,1,5,0,1,8,0,4,1,2,2,2,2,2,2,1,2,1,4,1,1,1,8,2,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,199,59,1,10,46,1
1,199,60,1,7,2,2,1,2,2,2,2,2,1,1,6,2,2,2,2,2,2,2,1,2,1,1,1,0,0,0,0,0,4,2,2,2,2,2,2,2,1,2,1,4,2,2,1,8,2,0,1,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,199,60,1,10,25,1
1,199,61,1,3,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,8,0,1,8,0,4,1,2,2,2,2,2,2,1,2,1,4,1,1,1,8,2,0,1,1,0,5,3,4,2,2,2,2,2,2,2,2,2,2,2,1,2,199,61,1,2,3,1
1,199,62,1,3,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,8,0,5,6,0,4,1,2,2,2,2,2,2,1,2,1,4,1,1,1,8,2,0,1,1,0,5,0,3,2,2,2,2,2,1,2,2,2,2,2,1,2,199,62,1,10,19,1
1,199,63,1,4,2,1,1,2,1,2,2,2,2,0,1,2,2,2,2,2,2,2,1,2,1,1,2,4,0,1,2,0,2,1,2,2,2,2,2,2,1,2,1,4,1,1,1,8,2,0,1,0,0,2,9,2,2,2,2,1,2,2,2,2,2,2,2,1,2,199,63,1,2,47,1
1,199,64,2,7,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,8,0,2,4,0,4,1,2,2,2,2,2,2,1,2,1,4,1,3,1,8,2,0,1,0,0,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,199,64,1,2,29,1
1,199,65,2,3,2,1,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,1,2,1,1,2,4,0,2,8,0,4,2,2,2,2,2,2,2,1,2,1,4,1,1,0,8,2,0,1,1,0,2,1,4,1,1,2,2,2,2,2,1,2,2,1,2,2,199,65,1,2,26,1
1,199,66,3,8,2,1,1,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,1,2,1,1,2,4,0,1,2,0,4,2,2,2,2,2,2,2,1,2,1,4,6,5,1,8,2,0,1,0,0,2,3,4,2,2,2,2,2,2,2,2,2,2,2,1,2,199,66,1,2,61,1
1,199,67,1,3,2,1,1,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,1,2,1,1,4,8,0,1,8,0,4,1,2,2,2,2,2,2,1,2,1,0,7,1,1,8,2,0,1,1,0,5,0,3,2,2,2,2,2,2,2,2,2,2,2,1,2,199,67,1,2,107,1
