COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71
1,135,952,1,1,7,6,4,9,3,2,13,2,2,4,3,5,5,2,3,8,2,6,1,6,11,2,4,1,2,3,2,2,5,5,3,3,10,1,11,3,3,2,5,4,2,4,1,3,7,4,3,1,5,,213,5095,2,1,1,1,1,1,3,5,3,4,2,50,20,506
1,135,953,1,1,8,8,4,7,3,1,15,3,5,1,1,2,5,1,2,8,2,6,4,7,2,4,7,3,2,2,1,3,1,2,3,3,10,1,10,1,3,2,5,1,2,4,1,3,6,2,1,1,2,,213,5095,3,1,3,1,1,3,5,3,3,4,2,50,10,201
1,135,954,1,1,8,8,4,7,2,1,14,1,5,2,2,4,4,1,2,8,2,4,3,5,11,1,3,1,2,2,1,1,2,3,1,1,10,1,10,3,3,3,5,1,1,3,1,5,7,3,1,1,1,,213,5095,4,1,3,1,1,3,5,2,3,3,2,50,50,210
1,135,955,1,1,9,8,4,3,3,1,7,11,4,1,1,2,2,1,2,8,2,2,4,8,1,3,2,3,2,4,2,2,1,2,1,1,10,1,10,3,3,1,5,3,2,4,1,5,8,2,4,3,3,,213,5095,5,1,3,1,1,1,5,3,3,3,2,50,20,105
1,135,956,1,1,9,4,4,7,2,1,6,1,3,1,1,6,6,1,1,8,2,11,3,4,1,2,1,3,2,2,1,1,2,3,2,1,10,1,10,3,2,3,5,2,0,5,1,1,8,3,2,1,1,,213,5095,6,1,1,1,1,1,1,1,2,3,2,50,0,103
1,135,957,1,1,8,8,4,9,3,2,16,11,7,1,2,2,2,1,2,8,3,6,6,7,2,2,8,1,2,3,1,1,2,2,2,2,10,1,10,3,2,3,5,1,1,3,1,1,6,1,2,1,1,,213,5095,7,1,3,1,3,3,5,2,2,3,2,51,0,301
1,135,958,1,1,4,3,4,7,2,2,13,1,3,2,3,2,2,1,3,8,2,4,3,4,1,1,2,3,2,1,2,1,1,2,3,2,10,1,10,2,1,1,5,2,2,3,1,5,6,2,1,3,3,,213,5095,8,1,1,1,3,3,5,3,3,3,2,50,0,305
1,135,959,1,1,4,3,4,7,2,2,13,1,3,2,3,2,2,1,3,8,2,4,3,4,1,1,2,3,2,1,2,1,1,2,3,2,10,1,10,2,1,1,5,2,2,3,1,5,6,2,1,3,3,,213,5095,9,1,1,1,3,3,5,3,3,3,2,50,0,305
1,135,960,1,1,9,11,4,9,2,1,7,11,7,1,2,2,2,2,2,8,2,6,3,10,0,3,3,1,2,2,2,3,1,3,2,1,10,10,10,3,5,0,5,1,1,1,1,1,8,3,2,3,3,,213,5096,0,1,3,1,3,1,4,2,3,3,2,50,0,108
1,135,961,1,1,9,8,4,8,2,1,6,1,3,4,2,2,2,1,2,3,1,2,3,8,2,2,2,3,2,4,1,1,5,2,2,1,10,1,10,2,3,2,5,1,2,3,2,5,6,1,2,1,2,,213,5096,1,1,1,1,1,1,3,2,2,3,2,50,60,508
1,135,962,1,1,2,1,4,7,1,1,11,1,2,1,2,4,1,1,2,8,4,4,3,4,2,2,3,3,2,2,1,3,2,2,2,8,10,10,10,3,3,2,5,2,4,4,1,5,8,3,1,3,1,,213,5096,2,1,3,1,1,3,4,4,1,3,2,51,10,203
1,135,963,1,1,8,8,4,5,2,2,13,3,4,3,3,4,4,1,3,8,2,4,3,9,1,3,4,3,2,3,1,1,1,3,3,1,10,1,10,3,3,5,5,1,2,3,1,5,6,2,1,1,1,,213,5096,3,1,1,1,3,1,5,2,3,3,2,50,50,210
