COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98
1,116,36,2,1,1,3,4,1,2,3,1,2,1,2,3,2,3,2,1,1,4,3,5,2,2,1,4,1,2,1,1,3,5,2,1,4,2,2,6,1,1,2,2,2,2,3,3,2,2,3,2,3,3,1,3,3,1,2,3,1,0,9,9,9,9,9,9,9,9,9,9,9,,211,6003,6,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,73
1,116,37,2,2,1,3,4,3,4,2,1,5,1,1,2,1,2,2,1,3,6,4,3,1,1,2,2,1,3,3,1,3,3,3,4,2,3,3,0,0,1,2,2,2,3,2,3,2,1,3,2,3,1,1,4,3,2,1,3,1,1,1,1,2,1,1,3,1,2,2,3,3,,211,6003,7,3,5,1,4,3,1,3,2,2,2,2,2,2,2,2,2,1,2,2,21,12
1,116,38,2,2,2,4,4,2,1,3,3,4,2,1,3,2,2,3,2,1,5,3,2,2,1,1,1,1,2,1,1,3,4,3,2,2,2,2,6,2,2,4,3,3,3,2,3,6,2,4,4,3,1,3,4,4,1,4,2,1,0,9,9,9,9,9,9,1,4,9,9,9,,211,6003,8,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,21,45
1,116,39,2,2,1,4,4,1,9,4,1,2,1,1,3,2,4,2,1,1,6,3,3,2,1,1,1,1,1,2,1,3,2,2,2,4,2,2,6,2,2,2,3,3,3,3,4,3,3,4,2,2,1,1,1,1,4,1,4,1,0,9,9,9,9,9,9,2,0,9,9,9,,211,6003,9,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,91
1,116,40,3,2,1,4,4,2,1,3,3,3,2,2,3,2,4,2,1,1,6,3,5,3,1,1,1,5,2,3,1,3,3,2,1,2,2,2,6,2,3,6,4,4,3,3,4,6,2,4,3,2,2,1,2,4,2,2,4,3,4,9,9,9,9,9,9,9,9,9,9,9,,211,6004,0,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,0
1,116,41,4,2,1,4,4,1,3,3,1,2,1,1,3,1,4,2,1,2,6,1,2,2,1,1,1,1,2,1,1,3,3,3,2,1,1,2,6,2,1,2,2,1,1,1,2,3,2,2,2,4,2,3,2,2,3,1,3,2,4,9,9,9,9,9,9,9,9,9,9,9,,211,6004,1,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,74
1,116,42,5,2,1,4,4,2,5,2,1,2,3,1,1,1,2,2,2,1,2,3,2,1,1,1,1,3,3,6,1,3,3,2,3,1,2,2,6,1,1,4,1,2,2,1,2,3,2,2,2,4,1,1,1,2,4,1,3,1,0,9,9,9,9,9,9,0,9,9,9,9,,211,6004,2,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,24
1,116,43,4,2,1,5,4,3,2,4,3,3,2,2,2,0,2,2,2,1,3,3,5,1,2,3,4,2,3,1,1,3,5,2,2,4,2,3,6,1,3,6,4,3,3,3,4,6,3,4,2,2,1,2,1,2,3,1,4,2,4,9,9,9,9,9,9,0,9,9,9,9,,211,6004,3,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,22
1,116,44,2,2,1,3,6,1,2,4,3,5,2,2,3,1,4,2,1,1,5,3,5,1,2,2,1,2,1,3,1,3,5,2,1,5,1,1,0,2,2,4,4,4,4,3,5,1,1,4,4,2,3,1,3,4,2,1,3,3,4,9,9,9,9,9,9,9,9,9,9,9,,211,6004,4,9,9,9,9,9,3,1,2,2,2,2,2,2,2,2,2,1,2,2,22,70
1,116,45,2,2,1,3,5,1,9,3,3,5,1,1,3,1,4,3,1,1,5,3,2,3,1,1,1,3,2,1,1,3,2,2,1,1,1,1,6,2,1,1,3,3,3,2,5,3,2,1,4,2,3,3,2,4,4,1,4,2,2,5,3,9,1,3,3,0,0,1,1,9,,211,6004,5,3,1,1,1,1,1,9,2,2,2,2,2,2,2,2,2,1,2,2,21,90
