CARD.,DECK.,BALLOT.,Q.1.,Q.2.,V.3.,Q.3A.,Q.3A..1,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19A.,Q.19B.,Q.21.,Q.22.,V.23.,V.24.
1,136,181,3,3,2,0,0,1,1,2,2,3,1,1,2,1,8,3,1,2,1,1,2,3,2,2,5,112
1,136,182,4,3,2,0,0,3,4,3,2,2,1,3,2,1,8,3,1,3,3,4,6,4,1,1,4,512
1,136,183,2,2,2,0,0,1,3,3,2,3,3,3,2,1,4,3,2,4,1,1,5,4,2,4,4,412
1,136,184,3,2,2,0,0,1,1,3,2,3,3,3,2,1,6,3,1,2,1,1,3,5,1,1,3,112
1,136,185,4,3,2,0,0,2,1,1,4,3,1,1,4,2,0,3,1,2,1,1,0,3,4,4,10,112
1,136,186,4,3,2,0,0,2,2,4,2,3,3,3,2,1,2,3,1,3,5,1,1,5,2,2,2,112
1,136,187,1,3,2,0,0,1,2,1,3,4,1,3,3,2,0,3,1,2,1,1,1,5,1,1,4,522
1,136,188,4,3,2,0,0,1,1,4,3,3,1,1,2,1,4,3,1,2,5,1,6,6,2,2,4,422
1,136,189,4,3,2,0,0,1,1,1,2,3,1,1,3,2,8,3,1,3,1,4,4,5,1,1,10,122
1,136,190,4,3,2,0,0,3,3,3,2,4,1,1,1,2,6,3,2,2,4,2,4,4,1,1,2,122
1,136,191,3,2,2,0,0,3,1,2,3,3,1,1,3,1,4,3,1,2,1,3,4,5,5,5,2,22
1,136,192,4,3,2,0,0,1,1,2,2,1,1,1,1,2,2,3,2,2,1,1,3,4,4,4,10,22
1,136,193,3,2,2,0,0,2,2,1,2,2,2,2,3,2,2,3,2,3,1,3,4,5,2,2,5,132
1,136,194,2,2,2,0,0,1,2,3,2,3,2,3,2,3,8,3,1,3,2,2,4,5,1,1,4,432
1,136,195,3,2,2,0,0,2,2,1,3,4,2,2,2,2,2,3,1,3,3,1,5,5,1,1,3,132
1,136,196,3,3,2,0,0,0,1,1,3,3,1,1,3,2,5,3,1,2,3,2,4,5,4,4,2,74
1,136,197,4,2,2,0,0,1,1,3,2,3,1,3,2,2,1,3,1,3,1,1,2,5,1,2,1,174
1,136,198,4,3,2,0,0,1,1,1,2,1,1,3,1,2,7,3,1,1,1,1,1,4,1,1,10,14
1,136,199,4,2,2,0,0,1,1,1,1,3,1,3,1,1,1,3,1,3,1,0,2,4,1,1,2,14
1,136,200,2,3,2,0,0,1,2,2,3,2,1,3,2,2,7,3,1,3,1,1,4,4,2,2,7,104
1,136,201,2,2,2,0,0,1,2,2,2,3,2,3,1,1,2,3,1,4,1,1,5,4,1,1,8,104
1,136,202,4,3,2,0,0,1,1,1,4,4,2,2,4,2,6,3,2,3,1,1,6,6,2,2,1,204
1,136,203,4,3,2,0,0,1,1,2,4,4,1,2,4,2,7,3,1,2,1,0,3,6,4,4,10,204
1,136,204,3,3,2,0,0,1,2,2,2,3,1,1,3,2,4,3,1,2,1,1,4,5,1,1,5,204
1,136,205,1,2,2,0,0,2,2,1,3,3,1,3,2,1,8,3,1,3,1,1,4,5,4,1,6,204
1,136,206,2,2,2,0,0,1,1,2,1,3,1,3,2,2,8,3,1,2,1,1,3,4,2,1,7,204
1,136,207,4,3,2,0,0,2,2,4,2,3,1,3,1,1,3,3,1,2,1,1,3,6,2,4,7,68
1,136,208,3,3,2,0,0,1,1,1,3,2,3,1,2,2,1,3,1,3,1,1,4,5,4,1,3,168
