COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75
1,218,41,2,3,21,2,4,4,2,1,10,2,4,2,3,3,4,2,1,3,3,3,1,2,1,2,1,2,3,3,3,1,1,1,2,1,2,4,1,2,2,75,1,1,1,3,6,1,7,7,2,1,1,1,6,8,6,9,9,99,9,9,6,3,,22,180,4,12,18,0,7,14,7
1,218,42,2,3,24,2,1,1,1,6,10,2,1,3,3,4,6,3,3,2,3,5,1,3,1,2,2,3,3,3,3,3,2,2,2,1,1,5,1,3,2,44,1,1,1,3,6,1,1,5,1,3,2,1,9,10,8,9,9,99,9,9,8,2,,22,180,4,22,19,0,9,11,5
1,218,43,2,2,28,3,4,4,1,6,10,2,4,2,1,2,0,3,1,3,2,4,1,2,1,2,1,3,3,5,3,1,2,2,5,2,1,4,2,3,2,61,1,4,1,3,6,2,7,7,3,5,2,3,7,8,7,9,9,99,9,9,7,2,,22,180,4,32,17,0,0,14,7
1,218,44,2,2,34,2,2,2,1,6,10,2,3,2,3,3,5,2,1,3,4,5,2,3,1,2,2,2,2,3,3,3,2,2,2,2,2,4,2,1,1,50,1,2,3,1,5,2,1,5,2,3,2,3,7,1,1,9,9,99,9,9,7,2,,22,180,4,42,11,0,8,13,7
1,218,45,2,2,25,3,11,99,2,6,10,1,4,2,2,3,3,2,1,3,3,3,2,2,1,2,1,3,3,4,3,1,2,2,2,1,2,5,2,1,2,40,1,1,1,3,6,2,7,7,1,2,2,2,8,9,8,9,9,99,9,9,8,5,,22,180,4,52,18,0,7,14,8
1,218,46,2,2,30,2,1,1,2,6,10,2,4,2,3,3,4,2,1,2,3,5,2,3,1,2,2,2,2,3,3,1,2,2,2,2,2,4,2,1,3,48,1,2,2,2,5,5,7,7,3,4,2,1,2,8,7,9,9,99,9,9,8,4,,22,180,4,62,8,0,8,13,7
1,218,47,2,1,26,2,4,4,2,6,10,2,3,1,1,3,3,3,1,1,2,3,1,3,1,0,0,4,2,2,4,2,4,2,1,1,3,3,1,1,2,60,1,1,1,3,0,4,7,2,2,2,2,2,6,8,6,9,9,99,9,9,6,3,,22,180,4,72,16,0,7,14,7
1,218,48,2,2,26,2,1,1,2,6,10,2,4,2,3,3,4,1,1,3,3,3,1,2,1,2,2,3,2,4,3,2,2,2,2,2,2,4,2,3,2,50,2,1,3,2,5,3,0,2,2,5,2,3,2,8,6,9,9,99,9,9,6,3,,22,180,4,82,11,0,7,13,7
1,218,49,2,2,28,3,4,4,2,1,10,1,3,3,1,3,6,2,1,2,2,3,1,2,1,2,2,3,4,3,2,1,4,3,1,2,2,5,2,1,1,72,1,2,2,2,5,4,0,2,4,5,3,3,5,8,8,9,9,99,9,9,6,2,,22,180,4,92,18,0,8,14,7
1,218,50,2,2,28,3,1,1,1,6,10,2,2,1,3,3,5,1,1,3,3,5,2,2,1,2,2,2,2,3,3,2,1,2,2,2,2,2,1,2,2,42,1,1,1,3,6,2,7,7,1,2,2,2,1,1,8,9,9,99,9,9,6,2,,22,180,5,2,14,0,7,12,5
1,218,51,2,2,33,2,1,1,1,6,10,2,4,2,1,3,6,2,1,3,4,5,2,2,1,1,1,3,2,4,3,2,2,2,2,0,2,4,5,2,1,40,2,3,2,2,5,5,3,5,2,2,2,2,9,8,7,9,9,99,9,9,6,3,,22,180,5,12,11,0,7,13,7
1,218,52,2,2,26,3,4,4,2,6,10,1,3,2,2,2,4,2,1,2,3,5,1,1,1,2,2,2,2,3,2,2,2,2,2,1,1,4,1,3,2,71,1,2,1,3,6,2,1,7,1,2,1,1,7,2,1,9,9,99,9,9,5,3,,22,180,5,22,17,0,7,14,7
1,218,53,2,2,28,2,4,4,1,6,10,1,3,1,3,2,5,1,1,2,4,4,1,3,1,2,1,3,2,2,2,2,1,1,2,1,1,4,3,3,3,60,2,2,1,3,6,3,7,7,1,1,1,2,7,8,7,9,9,99,9,9,5,2,,22,180,5,32,16,0,8,14,7
1,218,54,2,2,29,3,1,1,2,6,10,2,2,2,2,4,4,2,1,3,3,5,0,2,1,2,0,3,3,2,2,3,4,5,5,0,5,0,5,1,2,73,1,1,1,3,6,5,5,1,2,2,3,3,1,8,7,9,9,99,9,9,5,3,,22,180,5,42,13,1,0,12,5
1,218,55,2,2,34,2,1,1,2,6,10,1,4,2,3,3,6,2,1,3,4,5,2,3,1,2,2,3,2,4,3,2,1,3,3,2,2,2,2,2,2,55,1,2,2,2,5,3,7,7,2,3,2,2,4,8,0,9,9,99,9,9,5,2,,22,180,5,52,11,0,8,13,7
1,218,56,2,2,35,3,1,1,2,3,10,2,4,1,3,2,4,1,1,3,3,4,1,1,1,2,2,3,3,2,3,3,1,3,1,1,1,5,1,1,2,81,1,1,1,3,6,2,7,1,1,1,2,1,2,8,7,9,9,99,9,9,5,5,,22,180,5,62,14,0,8,12,5
1,218,57,2,4,41,2,2,2,1,6,10,1,3,3,1,4,0,3,1,2,3,4,2,2,1,2,2,2,3,3,3,1,3,3,2,2,2,5,0,1,1,75,1,1,1,3,6,3,0,2,1,2,1,1,7,1,1,9,9,99,9,9,6,3,,22,180,5,72,39,1,0,15,1
1,218,58,2,4,41,2,1,1,1,6,10,1,4,2,2,4,4,3,3,3,3,4,2,2,1,2,2,3,2,2,3,1,4,2,2,2,2,4,2,2,1,58,1,1,1,3,6,2,7,7,2,2,2,2,9,10,1,9,9,99,9,9,6,4,,22,180,5,82,18,0,8,11,5
1,218,59,2,4,42,3,1,1,1,6,10,1,4,2,3,3,4,2,1,3,2,3,2,2,1,2,1,2,2,3,3,2,1,2,2,1,1,5,2,2,1,56,1,1,1,3,6,2,6,5,1,2,2,2,1,8,7,9,9,99,9,9,6,3,,22,180,5,92,13,0,3,12,5
1,218,60,2,4,42,2,11,99,1,6,10,1,2,2,2,3,4,2,1,3,4,6,2,1,1,2,1,3,3,4,3,2,1,2,2,1,2,5,1,1,3,56,1,2,1,3,6,2,7,2,3,2,1,2,2,8,7,9,9,99,9,9,6,2,,22,180,6,2,18,0,8,14,8
1,218,61,2,4,42,2,2,2,1,6,10,1,3,3,2,4,4,2,1,2,4,6,1,1,1,1,1,3,2,4,3,1,2,2,1,1,1,4,1,1,2,70,1,1,1,3,6,2,7,2,1,1,1,2,6,1,1,9,9,99,9,9,6,2,,22,180,6,12,22,0,8,16,1
