COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106
1,86,38,2,5,3,2,10,34,3,6,4,3,2,7,4,4,0,0,0,0,11,1,2,2,2,2,2,2,3,3,1,1,3,2,3,2,3,3,1,4,5,2,2,1,1,1,2,4,5,5,4,3,3,5,2,2,2,3,7,3,3,1,1,1,,208,6003,8,2,1,4,2,2,1,1,1,1,5,1,4,1,2,3,4,2,2,1,1,3,1,2,1,2,1,40,30,50,7,3,1,4,7,30,20,5
1,86,39,1,5,3,2,9,33,4,3,5,3,3,7,3,2,2,6,2,6,10,2,1,2,1,1,0,1,1,4,3,4,1,2,2,2,3,4,2,4,6,2,2,1,2,1,4,3,3,3,2,3,3,5,1,3,2,4,4,3,2,1,3,6,,208,6003,9,1,1,4,0,3,1,1,1,1,5,2,2,1,2,2,4,6,2,1,1,1,1,2,1,3,0,10,20,51,1,3,2,6,8,30,30,1
1,86,40,2,5,3,2,11,21,5,4,4,4,3,7,6,1,0,0,0,0,0,2,0,0,4,0,0,2,3,3,1,3,2,2,3,2,3,5,0,3,5,2,2,1,1,2,2,5,5,5,5,5,4,5,1,1,2,4,7,0,2,3,3,0,,208,6004,0,2,1,4,2,2,1,1,1,1,5,2,3,1,0,2,4,6,2,2,2,3,1,2,1,5,0,10,50,81,1,3,1,5,8,70,20,9
1,86,41,3,6,3,2,11,93,2,7,4,3,3,7,6,4,2,6,3,10,0,1,1,2,1,1,2,1,2,4,2,2,1,3,2,2,3,5,1,2,4,2,2,1,2,1,3,1,2,1,5,1,3,1,2,1,1,2,5,0,0,2,3,7,,208,6004,1,1,1,2,2,1,1,1,1,1,5,2,4,1,1,2,4,6,4,2,3,3,1,2,3,3,5,40,20,30,5,3,3,5,8,30,21,7
1,86,42,3,6,3,2,10,63,5,7,5,2,3,7,4,4,0,0,0,0,1,3,1,2,1,1,1,3,2,4,1,4,1,3,4,1,3,4,1,5,6,2,2,1,1,1,2,1,3,6,3,6,6,5,2,2,2,3,7,3,3,3,1,1,,208,6004,2,1,1,4,6,2,1,1,1,1,5,1,2,1,2,2,4,2,2,3,2,5,1,2,1,2,0,10,40,60,9,3,2,4,7,30,20,8
1,86,43,1,3,3,2,10,43,3,7,1,1,1,7,3,1,1,3,7,4,1,1,2,2,2,2,2,2,2,4,4,2,2,1,1,1,3,3,1,2,5,2,2,1,1,1,2,3,4,4,3,2,5,5,2,1,1,2,4,3,2,2,3,7,,208,6004,3,2,1,4,3,2,1,1,1,1,5,1,4,2,1,3,3,2,2,1,2,5,1,2,1,1,4,40,30,91,1,3,1,4,7,30,20,1
1,86,44,3,6,3,2,11,93,4,7,4,4,3,7,4,4,1,1,14,1,1,2,1,2,1,1,3,1,1,4,3,4,1,1,1,4,4,4,1,5,6,2,2,1,1,1,2,4,4,3,4,4,5,5,2,2,2,3,7,3,3,1,1,1,,208,6004,4,2,1,4,1,2,1,1,1,1,5,1,4,1,2,2,4,2,2,1,1,0,1,2,1,1,4,40,80,91,1,3,1,4,7,30,22,4
1,86,45,1,5,3,2,11,21,3,5,5,2,3,7,3,4,1,5,1,4,1,2,1,2,1,2,3,1,2,4,1,2,3,2,2,2,3,2,1,2,3,2,2,1,2,1,2,2,1,1,6,2,4,5,2,1,2,3,6,3,4,1,3,8,,208,6004,5,1,1,4,3,3,1,1,1,1,5,1,3,1,2,2,4,5,2,1,1,2,1,2,1,1,3,40,50,91,1,3,2,5,8,30,21,2
1,86,46,2,6,3,2,4,21,5,6,5,2,2,7,5,1,0,0,0,0,1,2,1,2,4,5,2,1,3,4,1,4,1,1,1,4,0,3,3,2,6,1,2,1,1,1,2,2,2,2,1,1,4,2,2,2,2,3,7,0,0,1,1,1,,208,6004,6,2,1,4,2,3,1,1,1,1,5,2,1,2,2,3,3,2,2,1,1,0,1,2,1,3,0,10,10,40,5,5,1,6,3,70,20,3
1,86,47,1,5,3,2,5,22,5,5,5,3,3,7,3,2,2,3,7,4,1,2,1,2,2,2,3,1,2,3,2,3,3,1,2,2,4,3,3,2,5,2,2,1,1,2,3,3,1,3,4,3,4,1,1,2,2,1,7,3,1,4,3,7,,208,6004,7,1,1,2,2,3,1,1,1,1,5,1,4,1,2,2,3,2,1,2,1,2,1,2,1,5,3,40,10,40,9,3,3,5,8,30,31,0
1,86,48,1,4,3,2,10,21,5,5,4,3,3,7,3,1,3,6,8,9,1,2,1,2,1,1,2,2,3,3,2,2,3,2,2,2,3,3,1,4,5,2,2,1,1,1,2,4,5,4,3,4,3,5,2,1,3,4,6,3,2,3,3,6,,208,6004,8,2,1,4,3,2,1,1,1,1,5,2,3,1,2,2,4,3,2,1,2,3,1,2,1,4,0,10,40,50,9,3,1,4,7,30,32,5
1,86,49,3,5,3,2,9,56,4,6,4,3,3,7,4,3,0,0,0,0,1,2,1,2,2,2,2,2,2,4,1,4,2,2,2,1,3,5,1,2,4,2,2,1,1,1,2,4,4,4,4,3,6,5,2,2,2,4,7,3,3,1,1,1,,208,6004,9,2,1,4,2,2,1,1,1,1,5,1,4,1,2,2,4,2,2,2,2,2,1,2,1,1,2,20,20,91,1,3,1,4,7,30,21,1
1,86,50,3,5,3,2,9,33,5,5,4,2,2,7,4,2,0,0,0,0,2,1,1,2,4,2,2,2,3,3,1,2,3,3,2,1,3,4,1,2,5,2,2,1,1,1,2,3,4,5,5,6,6,5,2,2,2,3,7,3,3,1,1,1,,208,6005,0,2,1,4,2,2,2,1,1,1,4,1,3,1,1,2,3,6,3,2,3,5,1,2,2,4,0,10,10,41,0,3,1,4,7,70,10,3
1,86,51,2,6,3,2,7,14,4,5,5,3,3,7,3,1,3,5,2,9,2,3,1,3,4,0,0,1,1,4,4,2,1,1,1,2,4,3,1,4,6,2,2,1,2,2,2,3,1,1,2,1,6,4,0,2,2,3,7,3,3,1,1,1,,208,6005,1,2,1,4,2,3,1,1,1,1,5,0,3,2,1,2,4,1,1,1,1,0,1,2,1,3,0,10,90,0,0,1,1,5,8,30,32,3
