COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85
1,79,1079,3,5,6,3,3,1,5,3,1,4,2,3,2,1,3,3,3,2,3,2,2,2,2,5,2,1,4,4,4,3,2,2,3,4,3,3,1,3,4,1,4,2,2,6,3,6,1,4,5,3,4,3,3,2,3,2,1,3,2,2,3,1,1,2,,207,9107,9,2,3,5,5,5,1,2,5,4,2,3,2,1,301433
1,79,1080,1,5,3,5,4,1,5,3,1,5,2,4,1,1,2,2,2,1,1,2,1,3,2,5,5,2,3,4,3,1,1,0,2,2,2,1,3,5,2,4,5,4,2,0,3,2,2,1,4,3,3,4,2,3,3,1,1,2,3,1,4,2,2,5,,207,9108,0,5,2,2,2,1,3,4,5,5,5,3,2,2,400041
1,79,1081,2,5,3,7,1,4,1,2,1,4,2,3,2,1,1,1,2,2,1,3,2,2,2,5,4,3,4,4,4,3,2,1,2,2,3,3,1,3,3,1,4,3,2,4,3,4,1,3,4,2,2,4,2,2,2,1,1,3,2,2,3,1,1,4,,207,9108,1,4,4,4,5,4,3,4,5,5,5,3,1,2,300315
1,79,1082,3,5,5,5,1,5,1,1,1,5,1,2,2,1,2,2,2,2,2,3,2,3,2,2,2,2,4,4,2,2,3,1,2,2,2,3,1,2,2,1,2,2,2,5,1,5,1,3,3,2,4,4,2,2,1,2,3,2,2,1,4,2,3,3,,207,9108,2,2,3,1,2,2,3,4,5,5,2,3,2,2,301189
1,79,1083,3,5,8,7,4,1,5,3,1,5,3,2,1,1,1,3,2,1,1,2,2,3,3,2,2,2,2,4,1,3,2,3,3,4,3,1,1,2,3,1,3,2,3,1,1,1,1,2,2,3,2,3,2,3,3,1,1,3,1,2,3,2,1,2,,207,9108,3,2,3,5,4,4,2,4,1,2,2,3,2,2,200635
1,79,1084,0,5,6,7,2,4,2,2,1,5,3,4,2,1,2,1,1,2,2,1,2,4,2,3,3,2,3,4,1,2,2,2,2,4,3,3,1,5,3,2,2,3,2,2,2,2,1,4,2,4,2,3,2,2,2,2,2,2,1,2,2,1,2,3,,207,9108,4,3,4,5,4,4,2,4,2,5,2,3,2,2,300609
1,79,1085,1,5,4,1,3,5,1,2,1,4,2,2,2,1,3,1,1,1,2,3,2,3,3,2,2,1,3,3,3,3,2,11,3,11,1,3,3,2,2,1,3,2,2,6,1,6,1,1,3,3,2,2,4,1,3,3,2,1,2,1,3,2,1,3,,207,9108,5,4,3,5,4,4,4,4,2,5,5,3,2,1,400940
1,79,1086,3,5,6,3,5,1,5,3,1,4,3,1,1,2,2,1,2,2,1,2,1,1,3,2,2,2,3,5,1,2,1,2,2,3,1,2,3,2,2,1,3,2,3,1,1,1,1,1,3,1,2,4,4,2,2,1,1,2,3,2,3,2,1,2,,207,9108,6,2,1,3,3,2,4,4,5,5,2,3,2,2,1109
1,79,1087,2,5,3,3,2,1,5,3,1,5,2,1,2,1,2,2,2,2,3,1,2,1,3,2,5,2,3,4,4,3,2,11,3,11,3,3,1,2,3,2,5,3,3,2,2,1,2,1,2,3,2,4,2,2,1,1,1,2,1,2,3,1,1,2,,207,9108,7,4,4,4,4,2,2,4,5,5,5,3,2,2,400131
1,79,1088,2,5,5,0,1,1,5,3,1,3,3,4,2,1,2,3,2,2,2,3,3,3,2,1,3,2,2,4,4,3,2,11,2,11,3,3,1,2,2,2,5,4,2,4,1,4,1,3,5,3,2,4,2,3,2,2,2,2,2,3,3,3,2,3,,207,9108,8,3,4,3,3,2,1,4,5,5,5,3,2,2,300381
