CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.6C.,Q.6D.,Q.6E.,Q.6F.,Q.6G.,Q.6H.,Q.6I.,Q.6J.,Q.6K.,Q.6L.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,V.9A.,Q.10.,Q.11.,Q.12.,V.13.,V.14.
1,189,133,3,1,1,3,3,1,2,2,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,5,6,2,2,1
1,189,134,3,1,1,3,3,1,2,3,1,2,2,3,1,1,3,2,2,1,2,2,2,2,1,5,6,2,2,1
1,189,135,3,1,1,3,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,5,6,2,2,1
1,189,136,3,1,1,4,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,3,3,5,6,2,0,1
1,189,137,3,1,3,3,3,1,3,3,1,1,1,1,1,1,4,3,1,1,1,2,2,3,4,5,6,2,0,1
1,189,138,3,1,1,3,3,1,2,3,1,3,3,3,1,1,3,3,1,1,2,2,2,3,4,5,6,2,3,1
1,189,139,3,1,1,3,3,1,2,2,1,1,2,2,1,1,2,2,2,1,4,2,1,2,2,5,6,2,2,1
1,189,140,3,1,1,3,2,1,3,3,1,1,1,1,1,1,3,2,3,1,2,2,2,2,2,5,6,2,0,1
1,189,141,3,1,1,3,2,1,2,3,1,3,3,1,1,1,2,3,3,1,2,2,1,2,1,5,6,2,3,1
1,189,142,3,1,1,3,3,1,2,3,1,1,1,1,1,3,4,1,1,1,5,1,1,2,2,5,6,2,2,1
1,189,143,3,1,3,3,3,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,5,6,2,1,1
1,189,144,3,1,2,3,3,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2,3,5,6,1,2,2
1,189,145,3,1,2,2,2,1,3,3,1,3,3,1,1,1,1,3,1,1,2,2,2,2,2,5,6,2,2,2
1,189,146,3,1,1,2,3,1,2,3,1,3,3,2,1,1,2,2,2,1,3,2,1,2,2,5,6,1,0,2
1,189,147,3,1,1,3,2,1,2,3,1,1,1,1,1,3,3,2,2,1,1,1,2,2,1,5,6,1,2,2
1,189,148,3,1,1,3,3,1,2,3,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,5,6,1,2,2
1,189,149,3,1,1,3,3,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,5,6,1,0,2
1,189,150,3,1,1,3,3,1,2,2,1,3,3,1,1,1,2,3,3,1,2,1,1,1,4,5,6,2,3,1
1,189,151,3,1,2,0,2,4,0,4,4,4,4,4,4,0,3,0,0,0,2,2,2,3,3,0,0,0,0,1
1,189,152,3,1,3,3,2,1,1,2,1,2,2,3,1,2,2,2,2,1,1,1,2,2,2,7,3,1,3,1
1,189,153,3,1,2,3,2,1,3,1,1,1,4,4,1,1,3,3,1,1,1,1,2,1,3,5,4,2,3,1
1,189,154,3,1,2,2,2,1,2,3,1,2,2,3,1,3,2,2,3,1,1,2,2,1,3,5,4,2,0,1
1,189,155,3,1,3,3,2,1,3,2,1,2,2,1,1,1,3,2,1,1,0,0,0,0,4,0,4,2,2,1
1,189,156,3,1,3,3,2,1,3,3,1,0,3,3,1,1,2,0,0,1,1,2,2,3,4,5,4,2,2,1
1,189,157,3,1,2,3,3,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,5,5,2,3,1
1,189,158,3,1,2,3,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,3,2,1,4,5,5,2,0,1
1,189,159,3,1,1,3,2,1,2,2,1,3,3,3,1,1,2,3,1,1,1,2,2,2,2,5,5,2,1,1
1,189,160,3,1,1,3,3,1,2,2,1,2,2,1,1,1,3,2,1,1,2,2,2,0,4,5,5,2,3,1
1,189,161,3,1,1,3,2,1,2,3,1,1,3,3,1,1,2,2,1,1,0,0,0,0,4,0,5,2,3,1
1,189,162,3,1,3,4,2,1,4,1,1,4,4,1,1,1,1,4,1,1,0,0,0,0,4,0,5,2,0,1
1,189,163,3,1,1,3,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,3,5,5,2,0,1
1,189,164,3,1,1,3,2,1,2,3,1,3,3,1,1,3,3,2,1,1,1,1,2,1,4,5,5,2,3,1
1,189,165,3,1,1,3,2,1,2,1,1,2,2,1,1,1,2,2,2,1,3,2,2,2,1,5,5,2,0,1
1,189,166,3,1,1,3,3,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,1,5,5,2,3,1
1,189,167,3,1,1,3,3,1,2,3,1,1,1,1,1,1,2,2,1,1,3,1,2,2,2,5,5,2,2,1
1,189,168,3,4,3,3,3,1,2,2,1,2,2,2,1,1,2,2,4,3,0,0,0,2,1,5,7,1,2,2
