CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7B.,Q.7C.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29A.,Q.0.,Q.29B.,Q.29C.,Q.29D.,Q.29E.,Q.29F.,Q.29G.,Q.30A.,Q.30B.,Q.31.,Q.32A.,Q.32B.,Q.32C.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.37.,Q.38.,Q.39.,Q.41.,Q.42.,Q.42..1,Q.43A.,Q.43B.,Q.43C.,Q.44.,Q.45A.,Q.45B.,Q.46A.,Q.46B.,Q.48.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.49A.,Q.49B.,Q.49C.,Q.49D.,Q.49E.,Q.49F.,Q.49G.,Q.49H.,Q.50A.,Q.50B.,Q.50C.,Q.53A.,Q.53B.,Q.53C.,Q.54.,Q.55A.,Q.55B.,V.57.,V.58.
1,100,54,3,5,1,3,3,1,3,60,25,1,3,2,1,2,2,2,3,1,4,2,3,8,2,2,9,2,4,3,3,1,3,0,0,4,3,5,3,1,2,1,2,3,1,2,4,3,3,2,3,3,2,1,4,1,2,3,1,2,4,1,3,1,2,3,2,100,54,3,1,3,1,1,3,1,2,2,5,4,4,3,3,2,2,1,1,7,42
1,100,55,3,5,1,3,2,1,2,47,16,1,2,1,2,1,2,4,4,2,3,2,2,8,2,2,4,3,4,3,0,3,3,5,0,4,5,2,1,1,1,2,2,1,1,2,5,2,3,2,3,2,4,3,4,9,1,4,1,1,1,1,3,2,1,1,2,100,55,3,2,3,1,1,2,1,2,1,5,1,1,1,2,0,2,2,2,8,22
1,100,56,3,5,1,4,3,1,3,74,15,2,2,2,2,1,1,2,4,2,2,2,2,2,2,2,4,5,3,3,3,3,3,5,0,2,1,1,0,1,1,2,1,1,1,3,2,2,2,2,3,1,1,1,4,9,1,4,1,1,3,2,3,2,2,3,2,100,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28
1,100,57,3,6,1,3,3,1,5,75,20,1,3,1,2,1,1,3,2,1,2,1,2,0,3,2,9,6,4,3,0,1,3,2,0,5,1,5,1,5,1,0,0,2,9,2,1,2,1,1,2,3,2,1,4,9,1,5,1,1,4,1,2,2,1,1,2,100,57,3,2,3,1,1,3,1,0,3,4,1,2,1,3,3,2,2,1,10,31
1,100,58,3,6,1,3,4,1,1,70,30,1,2,2,2,2,3,2,4,2,2,2,3,1,3,2,8,3,2,3,3,1,1,5,0,1,0,0,0,1,1,2,1,3,1,3,4,3,2,2,1,3,3,2,4,4,2,3,1,1,4,1,4,1,1,0,2,100,58,3,2,2,1,1,2,1,3,2,2,2,2,1,2,2,2,1,2,11,36
1,100,59,3,4,1,2,4,1,6,1,1,2,2,2,2,2,1,4,2,1,2,1,2,1,0,0,8,3,2,3,3,1,1,2,0,0,0,0,0,0,0,1,3,0,1,1,4,2,2,0,0,0,0,0,3,5,4,1,2,3,2,3,3,1,2,3,2,100,59,3,2,2,2,2,2,1,2,2,3,2,2,1,3,3,2,1,1,23,35
1,100,60,3,4,1,4,4,1,5,90,21,2,2,2,2,2,3,1,4,2,3,2,4,8,2,2,8,4,3,3,2,1,1,2,0,5,1,4,4,3,1,3,2,3,1,4,4,2,2,1,3,3,3,1,4,2,2,3,1,1,2,1,3,2,1,3,2,100,60,3,1,2,1,1,2,2,2,2,3,1,2,1,2,1,2,2,2,24,13
1,100,61,3,4,1,3,2,1,1,40,11,4,3,2,3,3,2,2,4,3,4,3,3,8,2,3,10,6,4,3,2,1,3,5,0,5,5,5,5,2,5,2,3,1,0,4,3,3,3,1,3,3,3,1,4,2,2,2,1,2,3,3,4,2,2,3,2,100,61,3,1,3,1,1,3,2,2,1,2,2,1,3,2,0,2,1,2,22,42
1,100,62,3,4,1,3,4,1,5,50,11,2,2,2,2,2,3,2,4,2,4,2,2,8,3,2,4,2,1,2,3,1,2,2,0,5,2,4,5,2,1,3,2,1,4,1,2,3,2,1,3,3,1,2,4,12,2,0,0,0,4,1,3,2,2,3,2,100,62,3,2,2,1,3,3,0,3,3,1,2,1,2,2,2,2,1,1,20,37
1,100,63,3,5,1,5,3,1,7,50,10,1,2,1,2,2,1,0,2,2,2,2,3,0,1,0,4,1,4,2,0,1,2,5,0,1,1,0,0,1,1,2,2,1,3,1,4,2,1,1,3,3,2,1,3,8,3,2,1,1,2,1,4,1,0,0,2,100,63,3,0,2,2,1,2,1,0,2,2,2,2,1,2,0,2,0,2,23,30
1,100,64,3,4,1,4,4,1,2,60,14,2,2,2,3,2,1,2,3,1,2,2,2,0,3,1,8,5,4,3,2,1,1,5,0,5,2,5,5,2,1,2,1,3,1,2,4,3,3,2,1,3,4,2,3,10,3,1,1,2,3,1,3,2,2,2,2,100,64,3,2,3,1,1,3,3,3,2,3,2,2,1,2,2,2,1,2,22,44
